Method,Portfolio,n_months,avg_monthly_ret,monthly_vol,ann_return,ann_vol,ann_sharpe,avg_n_firms
M1,1,174,0.004008389438162313,0.0592153551745809,0.049175404914815424,0.20512800750122148,0.2344910080485295,85.3103448275862
M1,2,174,0.007998972296386327,0.04337981799319874,0.10032523162435081,0.15027209757462157,0.6387590850588261,84.6896551724138
M1,3,174,0.010039631294959054,0.04484042596431986,0.12735572923039729,0.15533179200646532,0.7756015300106376,85.0
M1,4,174,0.00911319443898695,0.045445363995914485,0.11500962622760658,0.1574273588187705,0.6946590102787413,85.75862068965517
M1,5,174,0.010008349284258722,0.043798643519674406,0.12693681560033765,0.15172295175734685,0.7915756319003269,84.86206896551724
M1,Q5-Q1,174,0.005999959846096408,0.0350566603564544,0.07442365310186605,0.12143983376212936,0.5928822193069382,170.17241379310346
M2,1,174,0.004587661843991406,0.05668466683815255,0.05646248340262461,0.19636144594758975,0.28036024007783394,85.17241379310344
M2,2,174,0.007951599087719759,0.044448124970138655,0.09970484450213624,0.15397282149890207,0.619714493270603,84.58620689655173
M2,3,174,0.00938773098495822,0.04615903698370992,0.1186552352286685,0.15989959456847286,0.7045219353027063,85.24137931034483
M2,4,174,0.009468766925629387,0.044855213443877155,0.11973340942677346,0.15538301733828358,0.7312588277274845,85.58620689655173
M2,5,174,0.00973603858419568,0.043966340129533266,0.12329618465902237,0.15230386985441205,0.7671010797166797,85.03448275862068
M2,Q5-Q1,174,0.005148376740204273,0.03410460240923332,0.06356027479833903,0.11814180828945609,0.5229352908758977,170.20689655172413
M3,1,174,0.004703857043666665,0.05040190515680196,0.05792975992730498,0.17459732105969758,0.3232941042932732,84.82758620689656
M3,2,174,0.009545611987945825,0.0468840101453648,0.1207567043115585,0.16241097526869308,0.7052931223757662,85.13793103448276
M3,3,174,0.008615502710747975,0.04595578034476833,0.10842846273909257,0.15919549291722782,0.6494281379104763,85.37931034482759
M3,4,174,0.008455743439926236,0.04850291568057027,0.10632346789553093,0.16801902854795378,0.6039132719432128,85.10344827586206
M3,5,174,0.009827199071763378,0.043019545815100715,0.12451374353685529,0.14902407814058302,0.7913243975910642,85.17241379310344
M3,Q5-Q1,174,0.005123342028096711,0.02534710365794249,0.0632424437735375,0.08780494272054266,0.7001895614559379,170.0
