Year,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2004,127.74,18.75,0.0,0.0,21.28,751.27,14.59,0.11452484788342517
2005,87.89,18.07,0.0,0.0,22.09,1051.58,22.2,0.04445044608765296
2006,190.01,15.23,0.0,0.0,27.43,1560.76,46.02,0.09170514942929336
2007,141.8,21.52,0.0,0.0,54.25,2328.4,37.64,0.027907389562306647
2008,692.12,186.55,0.0,0.0,102.52,1608.7,148.05,0.22942934395901524
2009,1031.33,288.01,0.0,0.0,0.0,1982.19,137.1,0.35074010635637404
2010,1485.99,417.96,1.03,0.0,43.77,2666.77,145.91,0.36379182843409136
2011,2193.09,872.22,0.0,0.0,61.33,2319.37,164.22,0.5071448991178095
2012,2655.03,1220.87,0.0,0.0,72.58,2499.79,449.41,0.4616777431167776
2013,4546.52,2033.55,0.27,0.0,73.27,2498.65,468.99,0.8220100820854281
2014,4965.76,2219.36,0.0,0.0,78.55,2108.34,378.53,1.0727742101517168
2015,5991.07,2713.98,0.0,0.0,80.88,2666.53,472.63,1.0181736515500959
2016,3948.7,1901.52,0.0,0.0,75.51,2684.92,495.71,0.619899202359281
2017,4383.1,2121.93,0.0,0.0,78.9,4220.49,165.39,0.49756719290085466
2018,4871.82,2421.61,0.0,0.0,55.65,3004.65,167.02,0.7549839674367129
2019,4449.91,2204.64,0.0,0.0,53.51,3177.68,141.74,0.660284025522531
2020,3102.0,1063.2199999999998,0.14,29.33,61.09,3553.0,303.0,0.5204564315352698
2021,4196.38,1586.46,0.12,41.66,46.21,3363.8,545.03,0.6665037875783802
2022,4568.53,1446.74,0.07,61.68,40.4,3122.84,661.51,0.8305257177586639
2023,3883.85,1487.24,5.62,83.49,76.92,3000.95,637.58,0.658936438616694
2024,4319.19,1881.36,5.8,104.77,143.96,5144.01,270.02,0.44197021442437506
