Year,CompanyName,Industry,REVT,COGS,XSGA_COMPONENTS,XRD,XINT,BE,MIB,PROF
2005,Norwegian Air Shuttle ASA,Passenger Transportation Services,1972.25,1191.85,339.83000000000004,0.0,0.65,141.59,0.0,3.1069990818560638
2006,Norwegian Air Shuttle ASA,Passenger Transportation Services,2941.4,0.0,139.26,0.0,0.0,260.73,0.0,10.747286464925402
2007,Norwegian Air Shuttle ASA,Passenger Transportation Services,4226.2,2706.04,688.3399999999999,0.0,19.14,508.27,0.0,1.5989139630511342
2008,Norwegian Air Shuttle ASA,Passenger Transportation Services,6226.41,0.0,490.33,0.0,0.0,897.37,0.0,6.392101362871502
2009,Norwegian Air Shuttle ASA,Passenger Transportation Services,7309.19,0.0,396.06,0.0,20.93,1601.61,0.0,4.303294809597841
2010,Norwegian Air Shuttle ASA,Passenger Transportation Services,8406.34,5727.93,1566.4199999999998,0.0,40.16,1795.9,0.0,0.5968205356645693
2011,Norwegian Air Shuttle ASA,Passenger Transportation Services,10528.72,7178.34,1834.05,0.0,70.25,1945.59,0.0,0.7432603991591236
2012,Norwegian Air Shuttle ASA,Passenger Transportation Services,12841.19,8373.55,2602.54,0.0,118.84,2420.7,0.0,0.7213863758416993
2013,Norwegian Air Shuttle ASA,Passenger Transportation Services,15511.22,10441.49,3211.61,0.0,256.7,2749.83,0.0,0.582370546542877
2014,Norwegian Air Shuttle ASA,Passenger Transportation Services,19540.04,14035.78,3725.729999999999,0.0,302.65,2108.25,0.0,0.700049804340093
2015,Norwegian Air Shuttle ASA,Passenger Transportation Services,22483.54,14400.38,5904.12,0.0,463.35,2965.31,0.0,0.5785870617237328
2016,Norwegian Air Shuttle ASA,Passenger Transportation Services,25950.55,16059.21,6946.35,0.0,685.99,4048.98,10.77,0.5564382043229262
2017,Norwegian Air Shuttle ASA,Passenger Transportation Services,30948.26,21380.69,9227.48,0.0,958.61,2098.41,12.33,-0.293034670305201
2018,Norwegian Air Shuttle ASA,Passenger Transportation Services,40265.5,29983.5,10092.6,0.0,1159.5,1704.4,17.3,-0.5634547249811235
2019,Norwegian Air Shuttle ASA,Passenger Transportation Services,43521.9,25386.800000000003,13462.1,0.0,3108.6,4124.9,23.8,0.37708197748692324
2020,Norwegian Air Shuttle ASA,Passenger Transportation Services,9095.7,5963.2,5405.9,0.0,2690.7,-6623.9,0.0,0.7494225456302177
2021,Norwegian Air Shuttle ASA,Passenger Transportation Services,5067.8,3846.4,3811.3,0.0,682.3,3269.6,0.0,-1.000795204306337
2022,Norwegian Air Shuttle ASA,Passenger Transportation Services,18869.3,12801.5,5441.8,0.0,650.0,4203.4,0.0,-0.005709663605652784
2023,Norwegian Air Shuttle ASA,Passenger Transportation Services,25539.3,13316.0,7216.3,0.0,848.0,5772.6,0.0,0.7204725773481618
2024,Norwegian Air Shuttle ASA,Passenger Transportation Services,35316.8,16647.0,12756.7,0.0,1135.0,7240.7,0.0,0.6598947615562034
